Quận,Loại_BDS,Pháp_lý,Số_tầng,Số_phòng,Diện_tích,Dài,Rộng,Giá
"Huyện Bình Chánh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,4," 100 m2",20m,5m," 1,2 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 3.100 m2",50m,30m," 2,5 triệu / m2  "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 5.002 m2",205m,45m," 12,75 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở",---,---,---," 4.147 m2",---,---," 6,39 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 1.635 m2",82m,20m," 9 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 18.677 m2",180m,100m," 25,213 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,3,4," 55 m2",11m,5m," 7 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 100 m2",20m,5m," 900 triệu "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 72 m2",14m,5m," 9,2 tỷ "
"Thành phố Thủ Đức","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 119 m2",28m,"4,3m"," 8,2 tỷ "
"Thành phố Thủ Đức","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 232 m2",20m,"11,7m"," 13,84 tỷ "
"Thành phố Thủ Đức","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 73 m2",12m,"6,6m"," 4,99 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 4.430 m2",86m,51m," 6,2 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 1.335 m2","26,5m",50m," 2,55 tỷ "
"Huyện Bình Chánh","Nhà mặt tiền",---,1,4," 100 m2",20m,5m," 1 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 6.220 m2",---,---," 9,3 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 90 m2",16m,5m," 6 tỷ "
"Quận Bình Tân","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 50 m2",10m,5m," 2 tỷ "
"Quận Bình Tân","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 63 m2","15,75m",4m," 4,05 tỷ "
"Quận Bình Tân","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 75 m2","18,75m",4m," 3 tỷ "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 136 m2",18m,8m," 750 triệu "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 85 m2",16m,5m," 550 triệu "
"Huyện Bình Chánh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,3," 102 m2",17m,6m," 1,1 tỷ "
"Huyện Bình Chánh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,3," 80 m2",16m,5m," 1,15 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 56 m2","13,5m","4,5m"," 7,09 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 6.500 m2",108m,60m," 1,5 triệu / m2  "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 144 m2",29m,5m," 1,5 tỷ "
"Quận Bình Tân","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 60 m2",15m,4m," 2,4 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 110 m2",22m,5m," 6,2 tỷ "
"Quận 12","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 4.000 m2",---,---," 4 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,6," 500 m2",18m,5m," 17,2 tỷ "
