Quận,Loại_BDS,Pháp_lý,Số_tầng,Số_phòng,Diện_tích,Dài,Rộng,Giá
" Quận 9","Đất nền, liền kề, đất dự án","Giấy tờ hợp lệ",---,---," 145 m2","20,5m",7m," 4,4 tỷ "
" Quận 9","Đất nền, liền kề, đất dự án","Giấy tờ hợp lệ",3,---," 198 m2",22m,9m," 6,5 tỷ "
" Quận 9","Đất nền, liền kề, đất dự án","Giấy tờ hợp lệ",---,---," 350 m2",32m,14m," 7 tỷ "
" Quận 9","Đất nền, liền kề, đất dự án","Giấy tờ hợp lệ",3,---," 270 m2","22,5m",12m," 7,5 tỷ "
"Huyện Bình Chánh","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 4.000 m2",100m,40m," 85 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 3.024 m2",101m,30m," 37 tỷ "
"Huyện Bình Chánh","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 2.700 m2",90m,30m," 50 tỷ "
"Huyện Hóc Môn","Kho, xưởng","Sổ hồng/ Sổ đỏ",2,---," 5.500 m2",100m,55m," 176 tỷ "
"Quận Tân Phú","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 6.000 m2",200m,30m," 15 triệu / m2  "
"Huyện Củ Chi","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 7.200 m2",120m,60m," 35 tỷ "
"Huyện Nhà Bè","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 6.006 m2",100m,60m," 90 tỷ "
"Quận Bình Tân","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 4.000 m2",100m,40m," 70 tỷ "
"Huyện Củ Chi","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 700 m2",35m,20m," 12 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.330 m2",70m,19m," 56 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.700 m2","80,2m","21,2m"," 58 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.922 m2",58m,33m," 230 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 2.000 m2",100m,20m," 45 tỷ "
"Huyện Củ Chi","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 10.000 m2",46m,218m," 3,5 triệu / m2  "
"Huyện Bình Chánh","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 2.246 m2",75m,30m," 34 tỷ "
"Quận Tân Phú","Kho, xưởng",---,3,3," 1.180 m2",50m,20m," 36 tỷ "
"Thành phố Thủ Đức","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 13.000 m2",174m,75m," 6 triệu / m2  "
"Huyện Củ Chi","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 6.300 m2",115m,55m," 4,2 triệu / m2  "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 4.422 m2",110m,40m," 176 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.289 m2",64m,20m," 37 tỷ "
"Huyện Củ Chi","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 700 m2",35m,20m," 12 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.700 m2","80,2m","21,2m"," 58 tỷ "
"Huyện Bình Chánh","Đất nông, lâm nghiệp","Sổ hồng/ Sổ đỏ",---,---," 20.000 m2",200m,100m," 4,5 triệu / m2  "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 11.500 m2",230m,50m," 20 triệu / m2  "
"Huyện Bình Chánh","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 4.000 m2",100m,40m," 85 tỷ "
"Huyện Hóc Môn","Kho, xưởng","Sổ hồng/ Sổ đỏ",2,---," 5.500 m2",100m,55m," 176 tỷ "
"Huyện Bình Chánh","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 2.700 m2",90m,30m," 50 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 3.024 m2",101m,30m," 37 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.330 m2",70m,19m," 56 tỷ "
"Quận Tân Phú","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 6.000 m2",200m,30m," 15 triệu / m2  "
"Huyện Bình Chánh","Đất nông, lâm nghiệp","Sổ hồng/ Sổ đỏ",---,---," 16.500 m2",178m,93m," 79 tỷ "
"Huyện Củ Chi","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 7.200 m2",120m,60m," 35 tỷ "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 17.823 m2",300m,60m," 6,2 triệu / m2  "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 15.000 m2",207m,70m," 250 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 5.800 m2",103m,45m," 120 tỷ "
"Huyện Củ Chi","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 6.300 m2",115m,55m," 4,2 triệu / m2  "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 4.422 m2",110m,40m," 176 tỷ "
"Thành phố Thủ Đức","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 13.000 m2",174m,75m," 6 triệu / m2  "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.289 m2",64m,20m," 37 tỷ "
"Quận Tân Phú","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 10.062 m2",106m,95m," 25 triệu / m2  "
"Huyện Củ Chi","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 10.000 m2",46m,218m," 3,5 triệu / m2  "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 17.823 m2",300m,60m," 6,2 triệu / m2  "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 15.000 m2",207m,70m," 250 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 5.800 m2",103m,45m," 120 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 11.500 m2",230m,50m," 20 triệu / m2  "
"Huyện Hóc Môn","Kho, xưởng","Sổ hồng/ Sổ đỏ",2,---," 5.500 m2",100m,55m," 176 tỷ "
"Huyện Bình Chánh","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 2.700 m2",90m,30m," 50 tỷ "
"Quận Tân Phú","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 6.000 m2",200m,30m," 15 triệu / m2  "
"Huyện Bình Chánh","Đất nông, lâm nghiệp","Sổ hồng/ Sổ đỏ",---,---," 16.500 m2",178m,93m," 79 tỷ "
"Huyện Củ Chi","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 7.200 m2",120m,60m," 35 tỷ "
"Huyện Bình Chánh","Đất nông, lâm nghiệp","Sổ hồng/ Sổ đỏ",---,---," 20.000 m2",200m,100m," 4,5 triệu / m2  "
"Huyện Nhà Bè","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 6.006 m2",100m,60m," 90 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.330 m2",70m,19m," 56 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 3.024 m2",101m,30m," 37 tỷ "
"Huyện Bình Chánh","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 4.000 m2",100m,40m," 85 tỷ "
"Quận Bình Tân","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 4.000 m2",100m,40m," 70 tỷ "
"Huyện Củ Chi","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 700 m2",35m,20m," 12 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.700 m2","80,2m","21,2m"," 58 tỷ "
"Huyện Củ Chi","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 6.300 m2",115m,55m," 4,2 triệu / m2  "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 4.422 m2",110m,40m," 176 tỷ "
"Quận Tân Phú","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 6.000 m2",200m,30m," 15 triệu / m2  "
"Huyện Bình Chánh","Đất nông, lâm nghiệp","Sổ hồng/ Sổ đỏ",---,---," 16.500 m2",178m,93m," 79 tỷ "
"Huyện Củ Chi","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 7.200 m2",120m,60m," 35 tỷ "
"Huyện Bình Chánh","Đất nông, lâm nghiệp","Sổ hồng/ Sổ đỏ",---,---," 20.000 m2",200m,100m," 4,5 triệu / m2  "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 11.500 m2",230m,50m," 20 triệu / m2  "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 17.823 m2",300m,60m," 6,2 triệu / m2  "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 15.000 m2",207m,70m," 250 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 5.800 m2",103m,45m," 120 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 2.000 m2",100m,20m," 45 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.922 m2",58m,33m," 230 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 1.289 m2",64m,20m," 37 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 4.422 m2",110m,40m," 176 tỷ "
"Thành phố Thủ Đức","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 13.000 m2",174m,75m," 6 triệu / m2  "
"Huyện Củ Chi","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 6.300 m2",115m,55m," 4,2 triệu / m2  "
"Quận Tân Phú","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 10.062 m2",106m,95m," 25 triệu / m2  "
"Quận 12","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 2.039 m2",102m,20m," 15 triệu / m2  "
"Huyện Hóc Môn","Kho, xưởng","Giấy tờ hợp lệ",1,---," 1.750 m2",70m,25m," 27 tỷ "
"Quận Tân Phú","Nhà mặt tiền",---,---,3," 300 m2",25m,12m," 30 tỷ "
"Quận Tân Phú","Kho, xưởng",---,3,3," 1.180 m2",50m,20m," 36 tỷ "
"Quận Bình Tân","Kho, xưởng","Sổ hồng/ Sổ đỏ",---,---," 10.000 m2",125m,80m," 122 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 98 m2","24,5m",4m," 6,4 tỷ / m2  "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,5," 80 m2",20m,4m," 9,3 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 126 m2",28m,"4,5m"," 6,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 72 m2",---,4m," 9,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,22," 130 m2",---,"4,5m"," 13,5 tỷ / m2  "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 63 m2",---,"4,5m"," 6,5 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,10," 455 m2",35m,16m," 55 tỷ "
"Quận 12","Nhà mặt tiền",---,4,4," 96 m2",---,---," 12,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 56 m2",8m,7m," 5,3 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",7,20," 132 m2",11m,12m," 19 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,3," 76 m2",19m,4m," 6,3 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 50 m2",11m,"4,5m"," 54 tỷ "
"Quận 12","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",1,5," 100 m2",---,4m," 7 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 90 m2",18m,5m," 11 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 45 m2",11m,"4,2m"," 6,4 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,5," 90 m2",18m,5m," 7,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 72 m2",---,4m," 14 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,5," 95 m2",---,---," 11,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 102 m2",---,---," 8,3 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 60 m2",---,4m," 7,3 tỷ "
"Quận Tân Bình","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",6,6," 310 m2",35m,9m," 44 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,10," 455 m2",35m,16m," 55 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 126 m2",28m,"4,5m"," 6,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 44 m2",---,4m," 4,6 tỷ "
"Quận Bình Thạnh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,6," 110 m2",22m,5m," 21,5 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 98 m2","24,5m",4m," 6,4 tỷ / m2  "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 63 m2",---,"4,5m"," 6,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 112 m2",16m,"8,1m"," 9,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 71 m2",---,"4,2m"," 6,95 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 80 m2",20m,4m," 9,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 50 m2",11m,"4,5m"," 54 tỷ "
"Quận 12","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",1,5," 100 m2",---,4m," 7 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 63 m2",14m,"4,5m"," 14 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 72 m2",---,4m," 9,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,22," 130 m2",---,"4,5m"," 13,5 tỷ / m2  "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,8," 120 m2",---,---," 22,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 90 m2",18m,5m," 11 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 40 m2",---,---," 5,2 tỷ "
"Quận Gò Vấp","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",3,4," 119 m2",17m,7m," 12,8 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,5," 90 m2",18m,5m," 7,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 153 m2",---,---," 16 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 90 m2",18m,5m," 11 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 72 m2",---,4m," 9,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,22," 130 m2",---,"4,5m"," 13,5 tỷ / m2  "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 111 m2",---,---," Thỏa thuận"
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,5," 100 m2",---,---," 9 tỷ "
"Quận 12","Kho, xưởng","Sổ hồng/ Sổ đỏ",1,10," 1.000 m2",50m,20m," 45 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,5," 80 m2",20m,4m," 7,65 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,6," 60 m2","11,2m","4,5m"," 14 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,5," 275 m2","18,5m",4m," 7,65 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,5," 85 m2",17m,"4,7m"," 10,9 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,4," 45 m2",11m,"4,3m"," 15 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 30 m2","9,5m","3,3m"," 6,3 tỷ "
"Quận 3","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,4," 58 m2",16m,"3,6m"," 17 tỷ "
"Quận 3","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 90 m2",18m,"5,5m"," 51,5 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,31," 160 m2",15m,10m," 25 tỷ "
"Quận 11","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 48 m2",13m,"3,6m"," 6,5 tỷ "
"Quận 3","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,8," 145 m2",20m,6m," 64 tỷ "
"Quận 3","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,6," 70 m2",16m,"4,5m"," 33 tỷ "
"Quận 1","Nhà mặt tiền",---,6,7," 70 m2",18m,"4,1m"," 35 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,10," 72 m2",25m,8m," 11,2 tỷ "
"Quận Gò Vấp","Phòng trọ, nhà trọ","Sổ hồng/ Sổ đỏ",3,11," 75 m2",---,6m," 7,4 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 100 m2",25m,4m," 7,3 tỷ "
"Quận Bình Thạnh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,5," 110 m2",---,---," 14,9 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 85 m2",17m,5m," 11,5 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 70 m2",16m,"4,4m"," 10,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 88 m2",22m,4m," 9,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 68 m2",---,---," 6,2 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,8," 80 m2",---,---," 14 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,6," 72 m2",18m,4m," 12,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 72 m2",18m,4m," 8,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 100 m2",25m,4m," 11,3 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,7," 68 m2",15m,"4,2m"," 8,2 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 60 m2",---,---," 7,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 100 m2",25m,4m," 10,9 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 90 m2",15m,6m," 8,6 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 60 m2",11m,"5,5m"," 10 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,11," 125 m2",25m,5m," 18,8 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 63 m2",14m,"4,5m"," 5,6 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 76 m2",---,"4,2m"," 6,2 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 55 m2",11m,5m," 5,15 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 60 m2",---,---," 5,3 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 75 m2",15m,5m," 8,9 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,5," 48 m2",---,---," 7,2 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 70 m2",17m,"4,2m"," 5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 112 m2",16m,7m," 15,5 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,9," 150 m2",30m,5m," 25 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 74 m2",18m,"4,2m"," 7,7 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 100 m2",20m,5m," 14 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 56 m2",14m,4m," 5,6 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 107 m2",---,---," 9 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 68 m2",15m,"4,5m"," 6,5 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 48 m2",12m,4m," 4,7 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 44 m2",---,---," 9,6 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 72 m2",18m,4m," 13,5 tỷ "
"Quận Gò Vấp","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",4,4," 153 m2",18m,"8,5m"," 20 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,12," 161 m2",---,"7,5m"," 25 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 72 m2",---,"4,5m"," 6,6 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 72 m2",18m,4m," 10,2 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 48 m2",---,---," 7,2 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,6," 88 m2",22m,"4,2m"," 11 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 84 m2",21m,4m," 6,3 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 88 m2",21m,"4,2m"," 10,5 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,5," 60 m2",---,---," 17 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 64 m2",---,---," 4,8 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 90 m2",18m,5m," 9,4 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 60 m2",---,---," 9,2 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,6," 170 m2",---,---," 16,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 75 m2",15m,5m," 8,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 48 m2",12m,4m," 4,7 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 88 m2",22m,4m," 9,5 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 70 m2",16m,"4,4m"," 10,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 72 m2",---,4m," 8,99 tỷ / m2  "
"Quận Gò Vấp","Phòng trọ, nhà trọ","Sổ hồng/ Sổ đỏ",5,29," 115 m2",---,"4,6m"," 12,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 76 m2",---,"4,2m"," 6,2 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",55,12," 160 m2",---,---," 20 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,12," 144 m2",---,---," 19,8 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 62 m2",---,---," Thỏa thuận"
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 72 m2",---,---," 4,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 84 m2",21m,4m," 11,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 100 m2",---,---," 6,3 tỷ "
